x-axis	Total diffraction	Diffraction pattern	Interference pattern	From Camera	
-0,027000	0,004753	0,004756	0,997962	0,039220	
-0,026962	0,004634	0,004632	0,998900	0,031421	
-0,026925	0,004460	0,004509	0,987592	0,035161	
-0,026887	0,004235	0,004384	0,964349	0,031293	
-0,026850	0,003967	0,004260	0,929812	0,035416	
-0,026812	0,003665	0,004135	0,884923	0,028704	
-0,026775	0,003337	0,004010	0,830902	0,032060	
-0,026737	0,002993	0,003885	0,769201	0,028192	
-0,026700	0,002642	0,003760	0,701456	0,033147	
-0,026662	0,002292	0,003636	0,629433	0,029982	
-0,026625	0,001952	0,003512	0,554972	0,032859	
-0,026587	0,001628	0,003388	0,479922	0,029535	
-0,026550	0,001328	0,003264	0,406087	0,035480	
-0,026512	0,001055	0,003142	0,335161	0,032316	
-0,026475	0,000813	0,003020	0,268685	0,040307	
-0,026437	0,000604	0,002899	0,207989	0,032412	
-0,026400	0,000429	0,002779	0,154164	0,034489	
-0,026362	0,000288	0,002660	0,108023	0,028160	
-0,026325	0,000178	0,002542	0,070089	0,032444	
-0,026287	0,000099	0,002426	0,040582	0,024996	
-0,026249	0,000045	0,002311	0,019425	0,028576	
-0,026212	0,000014	0,002198	0,006254	0,024325	
-0,026174	0,000001	0,002086	0,000447	0,024549	
-0,026137	0,000002	0,001976	0,001151	0,023973	
-0,026099	0,000014	0,001868	0,007328	0,028896	
-0,026062	0,000031	0,001762	0,017800	0,027905	
-0,026024	0,000052	0,001658	0,031303	0,031836	
-0,025987	0,000073	0,001557	0,046540	0,026946	
-0,025949	0,000091	0,001457	0,062235	0,029599	
-0,025912	0,000105	0,001361	0,077192	0,032635	
-0,025874	0,000115	0,001266	0,090337	0,043120	
-0,025837	0,000119	0,001175	0,100770	0,034937	
-0,025799	0,000117	0,001086	0,107795	0,036695	
-0,025762	0,000111	0,001000	0,110954	0,031005	
-0,025724	0,000101	0,000916	0,110043	0,036759	
-0,025687	0,000088	0,000836	0,105120	0,035161	
-0,025649	0,000073	0,000759	0,096505	0,039572	
-0,025612	0,000058	0,000685	0,084764	0,034106	
-0,025574	0,000044	0,000615	0,070689	0,036279	
-0,025536	0,000030	0,000548	0,055261	0,031069	
-0,025499	0,000019	0,000484	0,039616	0,035608	
-0,025461	0,000011	0,000424	0,024992	0,033914	
-0,025424	0,000005	0,000368	0,012680	0,041873	
-0,025386	0,000001	0,000315	0,003970	0,041649	
-0,025349	0,000000	0,000266	0,000095	0,044430	
-0,025311	0,000000	0,000221	0,002177	0,043120	
-0,025274	0,000002	0,000180	0,011177	0,048106	
-0,025236	0,000004	0,000143	0,027850	0,040339	
-0,025199	0,000006	0,000111	0,052707	0,042544	
-0,025161	0,000007	0,000082	0,085986	0,038900	
-0,025124	0,000007	0,000057	0,127634	0,042864	
-0,025086	0,000007	0,000037	0,177293	0,038069	
-0,025049	0,000005	0,000021	0,234311	0,042129	
-0,025011	0,000003	0,000010	0,297746	0,046284	
-0,024974	0,000001	0,000003	0,366396	0,057216	
-0,024936	0,000000	0,000000	0,438832	0,050408	
-0,024899	0,000001	0,000002	0,513437	0,055106	
-0,024861	0,000005	0,000008	0,588461	0,052325	
-0,024823	0,000013	0,000020	0,662071	0,058526	
-0,024786	0,000026	0,000035	0,732414	0,054371	
-0,024748	0,000044	0,000056	0,797676	0,060221	
-0,024711	0,000069	0,000081	0,856139	0,059805	
-0,024673	0,000100	0,000110	0,906244	0,062138	
-0,024636	0,000137	0,000145	0,946636	0,058782	
-0,024598	0,000180	0,000184	0,976214	0,066166	
-0,024561	0,000227	0,000228	0,994167	0,060700	
-0,024523	0,000277	0,000277	1,000000	0,066134	
-0,024486	0,000329	0,000330	0,993552	0,064440	
-0,024448	0,000380	0,000389	0,975000	0,072207	
-0,024411	0,000427	0,000452	0,944856	0,068084	
-0,024373	0,000470	0,000520	0,903946	0,067476	
-0,024336	0,000506	0,000592	0,853386	0,059741	
-0,024298	0,000533	0,000669	0,794540	0,060732	
-0,024261	0,000549	0,000751	0,728978	0,056513	
-0,024223	0,000553	0,000838	0,658423	0,063833	
-0,024186	0,000544	0,000929	0,584694	0,054819	
-0,024148	0,000523	0,001025	0,509644	0,054531	
-0,024110	0,000491	0,001126	0,435102	0,048937	
-0,024073	0,000447	0,001231	0,362816	0,054020	
-0,024035	0,000395	0,001341	0,294392	0,041777	
-0,023998	0,000337	0,001455	0,231251	0,040563	
-0,023960	0,000275	0,001574	0,174583	0,034393	
-0,023923	0,000213	0,001697	0,125314	0,042097	
-0,023885	0,000154	0,001824	0,084083	0,036375	
-0,023848	0,000100	0,001956	0,051232	0,040754	
-0,023810	0,000056	0,002091	0,026800	0,031932	
-0,023773	0,000024	0,002231	0,010534	0,033403	
-0,023735	0,000005	0,002375	0,001909	0,029535	
-0,023698	0,000000	0,002523	0,000158	0,033914	
-0,023660	0,000012	0,002675	0,004312	0,028192	
-0,023623	0,000038	0,002831	0,013241	0,029791	
-0,023585	0,000077	0,002991	0,025706	0,023717	
-0,023548	0,000128	0,003154	0,040417	0,028416	
-0,023510	0,000187	0,003321	0,056084	0,029407	
-0,023473	0,000250	0,003491	0,071470	0,034681	
-0,023435	0,000314	0,003664	0,085448	0,033403	
-0,023397	0,000373	0,003841	0,097044	0,035257	
-0,023360	0,000425	0,004021	0,105477	0,032731	
-0,023322	0,000464	0,004204	0,110194	0,039955	
-0,023285	0,000488	0,004391	0,110888	0,030366	
-0,023247	0,000493	0,004580	0,107514	0,032252	
-0,023210	0,000479	0,004771	0,100291	0,031836	
-0,023172	0,000446	0,004965	0,089691	0,039955	
-0,023135	0,000395	0,005162	0,076420	0,033179	
-0,023097	0,000330	0,005361	0,061392	0,037174	
-0,023060	0,000255	0,005563	0,045686	0,029215	
-0,023022	0,000176	0,005766	0,030508	0,030206	
-0,022985	0,000102	0,005972	0,017134	0,026434	
-0,022947	0,000042	0,006179	0,006864	0,033498	
-0,022910	0,000006	0,006388	0,000958	0,031197	
-0,022872	0,000004	0,006598	0,000590	0,040179	
-0,022835	0,000046	0,006810	0,006789	0,032859	
-0,022797	0,000143	0,007024	0,020396	0,034969	
-0,022760	0,000305	0,007238	0,042022	0,030654	
-0,022722	0,000538	0,007453	0,072014	0,035832	
-0,022685	0,000848	0,007670	0,110434	0,030174	
-0,022647	0,001240	0,007887	0,157044	0,035033	
-0,022609	0,001715	0,008104	0,211304	0,031804	
-0,022572	0,002270	0,008322	0,272382	0,033307	
-0,022534	0,002901	0,008540	0,339174	0,033882	
-0,022497	0,003599	0,008758	0,410334	0,043280	
-0,022459	0,004354	0,008976	0,484312	0,037430	
-0,022422	0,005151	0,009194	0,559401	0,038613	
-0,022384	0,005974	0,009411	0,633793	0,036247	
-0,022347	0,006805	0,009628	0,705635	0,037942	
-0,022309	0,007622	0,009845	0,773089	0,032955	
-0,022272	0,008407	0,010060	0,834394	0,034873	
-0,022234	0,009137	0,010274	0,887919	0,034106	
-0,022197	0,009792	0,010487	0,932226	0,041138	
-0,022159	0,010352	0,010699	0,966109	0,034202	
-0,022122	0,010802	0,010909	0,988640	0,039060	
-0,022084	0,011126	0,011118	0,999200	0,033339	
-0,022047	0,011314	0,011325	0,997496	0,036663	
-0,022009	0,011358	0,011530	0,983576	0,033850	
-0,021972	0,011255	0,011732	0,957823	0,036120	
-0,021934	0,011006	0,011933	0,920946	0,034330	
-0,021896	0,010618	0,012130	0,873953	0,042608	
-0,021859	0,010099	0,012326	0,818117	0,038932	
-0,021821	0,009465	0,012518	0,754936	0,039604	
-0,021784	0,008732	0,012708	0,686082	0,036183	
-0,021746	0,007921	0,012894	0,613345	0,039636	
-0,021709	0,007054	0,013078	0,538571	0,033946	
-0,021671	0,006156	0,013258	0,463609	0,036120	
-0,021634	0,005251	0,013434	0,390243	0,031836	
-0,021596	0,004363	0,013607	0,320143	0,036759	
-0,021559	0,003516	0,013776	0,254807	0,032188	
-0,021521	0,002730	0,013941	0,195517	0,040115	
-0,021484	0,002024	0,014102	0,143306	0,034745	
-0,021446	0,001413	0,014259	0,098926	0,042353	
-0,021409	0,000907	0,014411	0,062833	0,033243	
-0,021371	0,000513	0,014559	0,035182	0,037973	
-0,021334	0,000233	0,014702	0,015830	0,030909	
-0,021296	0,000065	0,014841	0,004354	0,035257	
-0,021259	0,000001	0,014974	0,000074	0,029982	
-0,021221	0,000032	0,015103	0,002094	0,029087	
-0,021183	0,000142	0,015226	0,009338	0,026147	
-0,021146	0,000317	0,015345	0,020603	0,033371	
-0,021108	0,000536	0,015458	0,034612	0,033211	
-0,021071	0,000780	0,015565	0,050066	0,041202	
-0,021033	0,001031	0,015668	0,065702	0,029791	
-0,020996	0,001268	0,015764	0,080344	0,030526	
-0,020958	0,001476	0,015855	0,092954	0,024485	
-0,020921	0,001639	0,015940	0,102674	0,031421	
-0,020883	0,001746	0,016019	0,108859	0,025731	
-0,020846	0,001791	0,016092	0,111106	0,028256	
-0,020808	0,001768	0,016159	0,109271	0,024261	
-0,020771	0,001681	0,016219	0,103470	0,033243	
-0,020733	0,001533	0,016274	0,094083	0,031581	
-0,020696	0,001336	0,016322	0,081729	0,036120	
-0,020658	0,001102	0,016364	0,067248	0,033626	
-0,020621	0,000849	0,016400	0,051661	0,037590	
-0,020583	0,000595	0,016429	0,036132	0,036183	
-0,020546	0,000361	0,016452	0,021918	0,038581	
-0,020508	0,000170	0,016468	0,010315	0,031165	
-0,020470	0,000043	0,016477	0,002608	0,033562	
-0,020433	0,000000	0,016480	0,000009	0,030750	
-0,020395	0,000060	0,016477	0,003608	0,036056	
-0,020358	0,000236	0,016466	0,014324	0,033403	
-0,020320	0,000541	0,016449	0,032859	0,036631	
-0,020283	0,000982	0,016426	0,059664	0,035512	
-0,020245	0,001558	0,016395	0,094911	0,040499	
-0,020208	0,002269	0,016358	0,138476	0,033626	
-0,020170	0,003103	0,016314	0,189933	0,043056	
-0,020133	0,004049	0,016264	0,248558	0,038613	
-0,020095	0,005086	0,016207	0,313347	0,041458	
-0,020058	0,006193	0,016143	0,383041	0,040083	
-0,020020	0,007343	0,016073	0,456159	0,047083	
-0,019983	0,008508	0,015996	0,531048	0,045613	
-0,019945	0,009657	0,015913	0,605932	0,051398	
-0,019908	0,010760	0,015823	0,678965	0,045357	
-0,019870	0,011786	0,015727	0,748297	0,051718	
-0,019833	0,012708	0,015624	0,812128	0,042832	
-0,019795	0,013500	0,015515	0,868773	0,051079	
-0,019757	0,014139	0,015400	0,916713	0,054467	
-0,019720	0,014608	0,015278	0,954649	0,061787	
-0,019682	0,014894	0,015151	0,981544	0,055969	
-0,019645	0,014990	0,015017	0,996660	0,064248	
-0,019607	0,014894	0,014877	0,999579	0,056704	
-0,019570	0,014610	0,014732	0,990220	0,061499	
-0,019532	0,014148	0,014581	0,968842	0,061307	
-0,019495	0,013522	0,014424	0,936033	0,064632	
-0,019457	0,012751	0,014262	0,892693	0,061563	
-0,019420	0,011857	0,014094	0,840001	0,068659	
-0,019382	0,010866	0,013921	0,779378	0,063737	
-0,019345	0,009806	0,013743	0,712435	0,066134	
-0,019307	0,008704	0,013560	0,640927	0,058111	
-0,019270	0,007589	0,013371	0,566686	0,059326	
-0,019232	0,006488	0,013178	0,491569	0,051366	
-0,019195	0,005426	0,012981	0,417393	0,054819	
-0,019157	0,004427	0,012779	0,345875	0,051782	
-0,019120	0,003508	0,012573	0,278585	0,055650	
-0,019082	0,002685	0,012362	0,216891	0,046348	
-0,019044	0,001970	0,012148	0,161924	0,049992	
-0,019007	0,001369	0,011930	0,114543	0,035768	
-0,018969	0,000883	0,011708	0,075317	0,036983	
-0,018932	0,000512	0,011482	0,044512	0,031677	
-0,018894	0,000249	0,011254	0,022097	0,035384	
-0,018857	0,000086	0,011022	0,007748	0,033339	
-0,018819	0,000010	0,010787	0,000880	0,041841	
-0,018782	0,000007	0,010550	0,000670	0,035161	
-0,018744	0,000063	0,010310	0,006105	0,038133	
-0,018707	0,000162	0,010068	0,016021	0,031005	
-0,018669	0,000287	0,009824	0,029163	0,035608	
-0,018632	0,000424	0,009578	0,044232	0,028960	
-0,018594	0,000560	0,009330	0,059946	0,029024	
-0,018557	0,000683	0,009081	0,075089	0,027361	
-0,018519	0,000783	0,008831	0,088567	0,035352	
-0,018482	0,000855	0,008579	0,099449	0,030750	
-0,018444	0,000892	0,008327	0,107007	0,038261	
-0,018407	0,000896	0,008074	0,110747	0,033498	
-0,018369	0,000865	0,007821	0,110426	0,037142	
-0,018331	0,000804	0,007568	0,106064	0,034266	
-0,018294	0,000718	0,007315	0,097945	0,037462	
-0,018256	0,000613	0,007063	0,086602	0,037270	
-0,018219	0,000497	0,006811	0,072796	0,044590	
-0,018181	0,000378	0,006560	0,057487	0,038165	
-0,018144	0,000264	0,006310	0,041792	0,041362	
-0,018106	0,000164	0,006061	0,026939	0,034266	
-0,018069	0,000083	0,005814	0,014218	0,038165	
-0,018031	0,000027	0,005569	0,004923	0,036056	
-0,017994	0,000002	0,005326	0,000302	0,042672	
-0,017956	0,000008	0,005085	0,001495	0,039476	
-0,017919	0,000046	0,004847	0,009491	0,047435	
-0,017881	0,000116	0,004612	0,025076	0,041106	
-0,017844	0,000214	0,004379	0,048799	0,045485	
-0,017806	0,000336	0,004151	0,080936	0,040243	
-0,017769	0,000478	0,003925	0,121475	0,045102	
-0,017731	0,000631	0,003704	0,170099	0,039955	
-0,017694	0,000790	0,003486	0,226195	0,047371	
-0,017656	0,000947	0,003273	0,288858	0,043599	
-0,017618	0,001096	0,003065	0,356917	0,050599	
-0,017581	0,001229	0,002861	0,428970	0,049353	
-0,017543	0,001343	0,002663	0,503419	0,055490	
-0,017506	0,001431	0,002469	0,578527	0,046252	
-0,017468	0,001491	0,002282	0,652467	0,050823	
-0,017431	0,001521	0,002100	0,723381	0,050983	
-0,017393	0,001521	0,001924	0,789444	0,051366	
-0,017356	0,001491	0,001754	0,848921	0,046284	
-0,017318	0,001434	0,001591	0,900225	0,056768	
-0,017281	0,001353	0,001434	0,941971	0,055778	
-0,017243	0,001252	0,001285	0,973021	0,063513	
-0,017206	0,001135	0,001142	0,992522	0,060061	
-0,017168	0,001009	0,001007	0,999938	0,063737	
-0,017131	0,000877	0,000880	0,995062	0,061883	
-0,017093	0,000744	0,000760	0,978031	0,067381	
-0,017056	0,000616	0,000648	0,949312	0,062234	
-0,017018	0,000496	0,000545	0,909696	0,061659	
-0,016981	0,000387	0,000450	0,860264	0,056577	
-0,016943	0,000292	0,000363	0,802354	0,061179	
-0,016905	0,000211	0,000285	0,737514	0,055969	
-0,016868	0,000145	0,000217	0,667455	0,056673	
-0,016830	0,000093	0,000157	0,593987	0,052325	
-0,016793	0,000055	0,000107	0,518966	0,058079	
-0,016755	0,000029	0,000066	0,444230	0,052102	
-0,016718	0,000013	0,000035	0,371542	0,056960	
-0,016680	0,000004	0,000013	0,302532	0,047563	
-0,016643	0,000000	0,000002	0,238646	0,051878	
-0,016605	0,000000	0,000001	0,181106	0,045101	
-0,016568	0,000001	0,000010	0,130874	0,048490	
-0,016530	0,000003	0,000029	0,088627	0,042736	
-0,016493	0,000003	0,000059	0,054741	0,049033	
-0,016455	0,000003	0,000099	0,029293	0,038837	
-0,016418	0,000002	0,000150	0,012063	0,038389	
-0,016380	0,000001	0,000212	0,002558	0,031389	
-0,016343	0,000000	0,000285	0,000037	0,031517	
-0,016305	0,000001	0,000369	0,003549	0,030941	
-0,016268	0,000006	0,000464	0,011981	0,041234	
-0,016230	0,000014	0,000571	0,024102	0,034585	
-0,016192	0,000027	0,000688	0,038624	0,035384	
-0,016155	0,000044	0,000817	0,054251	0,032252	
-0,016117	0,000067	0,000957	0,069737	0,040115	
-0,016080	0,000093	0,001109	0,083938	0,032859	
-0,016042	0,000122	0,001272	0,095857	0,033626	
-0,016005	0,000152	0,001446	0,104691	0,031293	
-0,015967	0,000180	0,001632	0,109855	0,038837	
-0,015930	0,000203	0,001830	0,111015	0,033339	
-0,015892	0,000221	0,002039	0,108096	0,037910	
-0,015855	0,000229	0,002260	0,101287	0,029631	
-0,015817	0,000227	0,002492	0,091031	0,031900	
-0,015780	0,000214	0,002735	0,078013	0,030142	
-0,015742	0,000189	0,002990	0,063124	0,035384	
-0,015705	0,000155	0,003257	0,047429	0,031645	
-0,015667	0,000114	0,003535	0,032123	0,038964	
-0,015630	0,000071	0,003824	0,018480	0,034937	
-0,015592	0,000032	0,004124	0,007801	0,038133	
-0,015555	0,000006	0,004435	0,001355	0,038613	
-0,015517	0,000002	0,004758	0,000328	0,043663	
-0,015479	0,000029	0,005091	0,005771	0,032635	
-0,015442	0,000101	0,005436	0,018547	0,034745	
-0,015404	0,000228	0,005791	0,039295	0,033307	
-0,015367	0,000422	0,006157	0,068392	0,041681	
-0,015329	0,000693	0,006533	0,105931	0,037238	
-0,015292	0,001051	0,006920	0,151707	0,038837	
-0,015254	0,001504	0,007317	0,205212	0,037270	
-0,015217	0,002055	0,007724	0,265642	0,047339	
-0,015179	0,002706	0,008140	0,331920	0,040307	
-0,015142	0,003455	0,008567	0,402721	0,045581	
-0,015104	0,004297	0,009003	0,476512	0,036056	
-0,015067	0,005220	0,009449	0,551600	0,036152	
-0,015029	0,006211	0,009904	0,626181	0,035832	
-0,014992	0,007252	0,010367	0,698403	0,052006	
-0,014954	0,008320	0,010840	0,766420	0,049576	
-0,014917	0,009393	0,011321	0,828457	0,057504	
-0,014879	0,010443	0,011810	0,882869	0,048554	
-0,014842	0,011441	0,012307	0,928190	0,055682	
