x-axis	Total diffraction	Diffraction pattern	Interference pattern	From Camera	
-0,027000	0,000015	0,001454	0,009942	0,082811	
-0,026962	0,000034	0,001560	0,021788	0,084680	
-0,026925	0,000060	0,001668	0,035725	0,079048	
-0,026887	0,000088	0,001780	0,048990	0,083899	
-0,026850	0,000112	0,001896	0,058707	0,078551	
-0,026812	0,000127	0,002014	0,062495	0,081864	
-0,026775	0,000127	0,002137	0,059053	0,081391	
-0,026737	0,000110	0,002262	0,048611	0,085177	
-0,026700	0,000080	0,002390	0,033171	0,078906	
-0,026662	0,000042	0,002522	0,016460	0,083663	
-0,026625	0,000010	0,002657	0,003592	0,079213	
-0,026587	0,000001	0,002795	0,000459	0,083639	
-0,026550	0,000038	0,002936	0,012931	0,079521	
-0,026512	0,000142	0,003079	0,045956	0,084657	
-0,026475	0,000333	0,003226	0,102715	0,075734	
-0,026437	0,000624	0,003375	0,183935	0,080870	
-0,026400	0,001019	0,003527	0,287482	0,078148	
-0,026362	0,001511	0,003682	0,408320	0,089461	
-0,026325	0,002079	0,003840	0,538837	0,084491	
-0,026287	0,002691	0,003999	0,669545	0,086952	
-0,026249	0,003304	0,004162	0,790049	0,083142	
-0,026212	0,003870	0,004326	0,890184	0,088041	
-0,026174	0,004340	0,004493	0,961167	0,088704	
-0,026137	0,004669	0,004662	0,996614	0,096751	
-0,026099	0,004825	0,004834	0,993294	0,094076	
-0,026062	0,004788	0,005007	0,951510	0,100537	
-0,026024	0,004557	0,005182	0,875065	0,092207	
-0,025987	0,004151	0,005359	0,770809	0,091544	
-0,025949	0,003605	0,005538	0,647838	0,090147	
-0,025912	0,002968	0,005718	0,516438	0,099567	
-0,025874	0,002294	0,005900	0,386929	0,097958	
-0,025837	0,001642	0,006084	0,268545	0,104135	
-0,025799	0,001062	0,006269	0,168500	0,095141	
-0,025762	0,000593	0,006455	0,091354	0,101318	
-0,025724	0,000259	0,006643	0,038742	0,099922	
-0,025687	0,000065	0,006831	0,009484	0,106998	
-0,025649	0,000000	0,007021	0,000046	0,105034	
-0,025612	0,000038	0,007211	0,005257	0,115613	
-0,025574	0,000143	0,007403	0,019183	0,115684	
-0,025536	0,000275	0,007595	0,036009	0,120441	
-0,025499	0,000398	0,007787	0,050818	0,122524	
-0,025461	0,000482	0,007980	0,060161	0,128512	
-0,025424	0,000512	0,008174	0,062342	0,125269	
-0,025386	0,000483	0,008367	0,057415	0,133032	
-0,025349	0,000404	0,008561	0,046902	0,128228	
-0,025311	0,000293	0,008755	0,033313	0,131991	
-0,025274	0,000176	0,008949	0,019547	0,124891	
-0,025236	0,000076	0,009142	0,008294	0,130358	
-0,025199	0,000014	0,009336	0,001528	0,130074	
-0,025161	0,000002	0,009529	0,000177	0,133813	
-0,025124	0,000039	0,009721	0,004008	0,127139	
-0,025086	0,000117	0,009913	0,011747	0,129174	
-0,025049	0,000217	0,010104	0,021387	0,130216	
-0,025011	0,000317	0,010294	0,030620	0,140108	
-0,024974	0,000393	0,010484	0,037324	0,130807	
-0,024936	0,000429	0,010672	0,039987	0,125956	
-0,024899	0,000415	0,010859	0,038015	0,120891	
-0,024861	0,000354	0,011045	0,031848	0,122500	
-0,024823	0,000258	0,011229	0,022873	0,112134	
-0,024786	0,000151	0,011412	0,013145	0,115187	
-0,024748	0,000058	0,011594	0,004975	0,113601	
-0,024711	0,000005	0,011773	0,000445	0,117743	
-0,024673	0,000012	0,011951	0,000967	0,107140	
-0,024636	0,000085	0,012127	0,006942	0,106312	
-0,024598	0,000218	0,012301	0,017619	0,100466	
-0,024561	0,000391	0,012472	0,031165	0,104040	
-0,024523	0,000571	0,012641	0,044969	0,098999	
-0,024486	0,000722	0,012808	0,056127	0,103283	
