x-axis	Total diffraction	Diffraction pattern	Interference pattern	From Camera	
-0,027000	0,000240	0,001454	0,164441	0,036758	
-0,026962	0,000163	0,001560	0,104065	0,032530	
-0,026925	0,000097	0,001668	0,057898	0,039067	
-0,026887	0,000046	0,001780	0,025923	0,033334	
-0,026850	0,000014	0,001896	0,007240	0,036369	
-0,026812	0,000000	0,002014	0,000199	0,035280	
-0,026775	0,000006	0,002137	0,002579	0,043840	
-0,026737	0,000027	0,002262	0,011794	0,040779	
-0,026700	0,000060	0,002390	0,025118	0,045371	
-0,026662	0,000101	0,002522	0,039912	0,037044	
-0,026625	0,000143	0,002657	0,053818	0,038315	
-0,026587	0,000182	0,002795	0,064930	0,037070	
-0,026550	0,000212	0,002936	0,071913	0,043659	
-0,026512	0,000229	0,003079	0,074063	0,039456	
-0,026475	0,000231	0,003226	0,071318	0,044385	
-0,026437	0,000217	0,003375	0,064203	0,042154	
-0,026400	0,000190	0,003527	0,053732	0,048562	
-0,026362	0,000152	0,003682	0,041269	0,044281	
-0,026325	0,000109	0,003840	0,028359	0,046357	
-0,026287	0,000066	0,003999	0,016556	0,044126	
-0,026249	0,000030	0,004162	0,007254	0,049651	
-0,026212	0,000007	0,004326	0,001536	0,043788	
-0,026174	0,000000	0,004493	0,000063	0,049703	
-0,026137	0,000014	0,004662	0,003004	0,043737	
-0,026099	0,000049	0,004834	0,010021	0,046123	
-0,026062	0,000102	0,005007	0,020302	0,041895	
-0,026024	0,000170	0,005182	0,032643	0,044852	
-0,025987	0,000245	0,005359	0,045580	0,039119	
-0,025949	0,000320	0,005538	0,057542	0,045967	
-0,025912	0,000384	0,005718	0,067024	0,042647	
-0,025874	0,000431	0,005900	0,072764	0,046849	
-0,025837	0,000451	0,006084	0,073897	0,043114	
-0,025799	0,000441	0,006269	0,070085	0,048380	
-0,025762	0,000399	0,006455	0,061605	0,046227	
-0,025724	0,000329	0,006643	0,049374	0,055384	
-0,025687	0,000239	0,006831	0,034931	0,053387	
-0,025649	0,000143	0,007021	0,020349	0,057563	
-0,025612	0,000059	0,007211	0,008101	0,056059	
-0,025574	0,000007	0,007403	0,000882	0,064282	
-0,025536	0,000011	0,007595	0,001396	0,056266	
-0,025499	0,000095	0,007787	0,012131	0,060987	
-0,025461	0,000281	0,007980	0,035140	0,055643	
-0,025424	0,000589	0,008174	0,071839	0,063374	
-0,025386	0,001031	0,008367	0,122842	0,063166	
-0,025349	0,001613	0,008561	0,187852	0,071519	
-0,025311	0,002332	0,008755	0,265613	0,066383	
-0,025274	0,003176	0,008949	0,353928	0,068225	
-0,025236	0,004123	0,009142	0,449749	0,069600	
-0,025199	0,005143	0,009336	0,549329	0,081688	
-0,025161	0,006196	0,009529	0,648433	0,078809	
-0,025124	0,007239	0,009721	0,742587	0,081844	
-0,025086	0,008224	0,009913	0,827351	0,079042	
-0,025049	0,009105	0,010104	0,898598	0,086072	
-0,025011	0,009836	0,010294	0,952777	0,090430	
-0,024974	0,010378	0,010484	0,987144	0,100962	
-0,024936	0,010701	0,010672	0,999941	0,089263	
-0,024899	0,010786	0,010859	0,990508	0,085813	
-0,024861	0,010625	0,011045	0,959331	0,080417	
-0,024823	0,010225	0,011229	0,908008	0,082700	
-0,024786	0,009603	0,011412	0,839142	0,080106	
-0,024748	0,008791	0,011594	0,756175	0,082648	
-0,024711	0,007829	0,011773	0,663163	0,070871	
-0,024673	0,006765	0,011951	0,564516	0,069055	
-0,024636	0,005651	0,012127	0,464723	0,062492	
-0,024598	0,004540	0,012301	0,368071	0,062985	
-0,024561	0,003482	0,012472	0,278397	0,055228	
-0,024523	0,002521	0,012641	0,198867	0,056940	
-0,024486	0,001693	0,012808	0,131815	0,045682	
-0,024448	0,001023	0,012973	0,078643	0,046097	
-0,024411	0,000524	0,013135	0,039793	0,043814	
-0,024373	0,000197	0,013294	0,014782	0,046071	
-0,024336	0,000031	0,013450	0,002307	0,039819	
-0,024298	0,000005	0,013603	0,000399	0,041454	
-0,024261	0,000091	0,013754	0,006621	0,040961	
-0,024223	0,000255	0,013901	0,018286	0,046849	
-0,024186	0,000460	0,014045	0,032683	0,042336	
-0,024148	0,000673	0,014186	0,047293	0,048769	
-0,024110	0,000861	0,014324	0,059971	0,039716	
-0,024073	0,001002	0,014458	0,069092	0,042362	
-0,024035	0,001077	0,014588	0,073640	0,040338	
-0,023998	0,001081	0,014715	0,073243	0,045111	
-0,023960	0,001014	0,014838	0,068151	0,037666	
-0,023923	0,000887	0,014957	0,059156	0,040857	
-0,023885	0,000717	0,015072	0,047472	0,042180	
-0,023848	0,000526	0,015183	0,034578	0,049444	
-0,023810	0,000338	0,015290	0,022048	0,045371	
-0,023773	0,000176	0,015393	0,011374	0,047913	
-0,023735	0,000059	0,015492	0,003807	0,041998	
-0,023698	0,000003	0,015586	0,000224	0,044852	
-0,023660	0,000016	0,015676	0,001038	0,038678	
-0,023623	0,000097	0,015762	0,006157	0,040027	
-0,023585	0,000238	0,015843	0,014988	0,036836	
-0,023548	0,000423	0,015919	0,026505	0,044203	
-0,023510	0,000631	0,015991	0,039350	0,038886	
-0,023473	0,000837	0,016058	0,051981	0,041583	
-0,023435	0,001016	0,016121	0,062840	0,038704	
-0,023397	0,001144	0,016178	0,070525	0,045993	
-0,023360	0,001204	0,016231	0,073960	0,043762	
-0,023322	0,001184	0,016278	0,072539	0,046720	
-0,023285	0,001084	0,016321	0,066235	0,043425	
-0,023247	0,000913	0,016359	0,055656	0,049469	
-0,023210	0,000691	0,016392	0,042048	0,043529	
-0,023172	0,000449	0,016419	0,027243	0,046097	
-0,023135	0,000223	0,016442	0,013541	0,045890	
-0,023097	0,000059	0,016459	0,003557	0,048147	
-0,023060	0,000000	0,016471	0,000019	0,044489	
-0,023022	0,000092	0,016478	0,005549	0,049521	
-0,022985	0,000371	0,016480	0,022438	0,047654	
-0,022947	0,000866	0,016477	0,052431	0,050144	
-0,022910	0,001594	0,016468	0,096547	0,043762	
-0,022872	0,002556	0,016454	0,154936	0,047316	
-0,022835	0,003738	0,016435	0,226804	0,045397	
-0,022797	0,005108	0,016410	0,310399	0,051104	
-0,022760	0,006621	0,016380	0,403064	0,048691	
-0,022722	0,008218	0,016345	0,501362	0,054087	
-0,022685	0,009831	0,016305	0,601262	0,048354	
-0,022647	0,011387	0,016259	0,698370	0,050222	
-0,022609	0,012811	0,016209	0,788189	0,046512	
-0,022572	0,014034	0,016152	0,866409	0,050870	
-0,022534	0,014993	0,016091	0,929167	0,048899	
-0,022497	0,015640	0,016025	0,973307	0,059042	
-0,022459	0,015943	0,015953	0,996579	0,052972	
-0,022422	0,015885	0,015876	0,997787	0,055540	
-0,022384	0,015472	0,015794	0,976869	0,053153	
-0,022347	0,014726	0,015707	0,934899	0,056084	
-0,022309	0,013686	0,015615	0,874020	0,051493	
-0,022272	0,012407	0,015518	0,797299	0,053205	
-0,022234	0,010953	0,015416	0,708531	0,046901	
-0,022197	0,009395	0,015309	0,611994	0,049936	
-0,022159	0,007805	0,015197	0,512176	0,049080	
-0,022122	0,006253	0,015081	0,413497	0,057537	
-0,022084	0,004801	0,014960	0,320041	0,048302	
-0,022047	0,003500	0,014834	0,235318	0,048821	
-0,022009	0,002390	0,014703	0,162076	0,043970	
-0,021972	0,001493	0,014568	0,102172	0,050689	
-0,021934	0,000818	0,014429	0,056503	0,042439	
-0,021896	0,000358	0,014285	0,025018	0,045708	
-0,021859	0,000096	0,014137	0,006787	0,042258	
-0,021821	0,000002	0,013984	0,000134	0,049262	
-0,021784	0,000039	0,013828	0,002818	0,042050	
-0,021746	0,000168	0,013667	0,012241	0,044696	
-0,021709	0,000348	0,013503	0,025673	0,040987	
-0,021671	0,000541	0,013335	0,040479	0,047005	
-0,021634	0,000717	0,013163	0,054314	0,040961	
-0,021596	0,000850	0,012987	0,065290	0,039586	
-0,021559	0,000926	0,012808	0,072093	0,041220	
-0,021521	0,000937	0,012625	0,074045	0,048873	
-0,021484	0,000887	0,012439	0,071109	0,044852	
-0,021446	0,000784	0,012250	0,063833	0,050222	
-0,021409	0,000644	0,012058	0,053248	0,042725	
-0,021371	0,000485	0,011863	0,040731	0,046590	
-0,021334	0,000326	0,011665	0,027832	0,042024	
-0,021296	0,000185	0,011464	0,016104	0,046227	
-0,021259	0,000078	0,011261	0,006931	0,044670	
-0,021221	0,000015	0,011055	0,001382	0,047550	
-0,021183	0,000001	0,010847	0,000099	0,040701	
-0,021146	0,000034	0,010637	0,003230	0,046953	
-0,021108	0,000109	0,010425	0,010413	0,043685	
-0,021071	0,000213	0,010211	0,020816	0,049028	
-0,021033	0,000333	0,009995	0,033221	0,043918	
-0,020996	0,000453	0,009777	0,046153	0,048562	
